#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321AA21BA
#Date Time: 2023-10-14 17:37:02.336
#Trace: Trace
#Start: 500000 Hz
#Stop: 5e+06 Hz
#Steps: 501
#Resistor: 100 ?
#Average: 1
#ProbeResistance: 1.04e+06 ?
#ProbeCapacitance: 4.3e-11 F
#Compensation: Open Short
#Wavegen: Wavegen1
#Amplitude: 2 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.48031 V
#Offset: -6.64227e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54429 V
#Offset: 8.32559e-06 V
#Attenuation: 1 X

Frequency (Hz)	Trace ? (°)	Trace |Z| (?)	Trace Rs (?)	Trace Xs (?)
1.50304e+06	-86.0028	407.607	28.4135	-406.616
1.50998e+06	-85.5094	402.688	31.5286	-401.452
1.51695e+06	-85.2509	398.541	32.9961	-397.173
1.52395e+06	-85.066	393.822	33.8716	-392.362
1.53098e+06	-84.7982	387.855	35.1645	-386.257
1.53805e+06	-84.4061	381.125	37.1509	-379.31
1.54515e+06	-83.7976	373.933	40.4004	-371.744
1.55228e+06	-82.523	367.175	47.7798	-364.053
1.55944e+06	-80.8835	364.999	57.8312	-360.388
1.56664e+06	-79.174	367.556	69.0369	-361.014
1.57387e+06	-78.0846	376.811	77.7991	-368.692
1.58114e+06	-78.2444	386.426	78.7295	-378.32
1.58844e+06	-79.133	391.666	73.841	-384.642
1.59577e+06	-79.9336	391.115	68.3631	-385.094
1.60313e+06	-80.3696	389.184	65.1074	-383.7
1.61053e+06	-80.6759	387.558	62.7915	-382.437
1.61797e+06	-81.0786	386.012	59.8623	-381.342
1.62544e+06	-81.5581	381.554	56.0144	-377.42
1.63294e+06	-81.5672	375.239	55.0288	-371.182
1.64048e+06	-80.9028	370.735	58.6165	-366.071
1.64805e+06	-80.1889	369.038	62.884	-363.641
1.65566e+06	-79.2934	370.669	68.8625	-364.216
1.6633e+06	-78.8893	377.317	72.7111	-370.245
1.67098e+06	-79.4947	383.551	69.9315	-377.122
1.67869e+06	-80.37	384.617	64.3405	-379.197
1.68644e+06	-81.0064	384.57	60.1177	-379.842
1.69422e+06	-81.8048	384.004	54.7385	-380.083
1.70204e+06	-82.6013	380.028	48.9376	-376.864
1.7099e+06	-82.7936	375.521	47.1069	-372.555
1.71779e+06	-82.8031	373.822	46.832	-370.877
1.72572e+06	-83.0967	374.631	45.0284	-371.915
1.73368e+06	-84.0073	374.598	39.109	-372.55
1.74169e+06	-85.0312	370.352	32.0775	-368.96
1.74973e+06	-85.7112	363.306	27.1692	-362.289
1.7578e+06	-85.987	355.871	24.9049	-354.999
1.76592e+06	-85.9268	349.473	24.8235	-348.59
1.77407e+06	-85.6569	343.81	26.0362	-342.822
1.78226e+06	-85.3583	339.792	27.4976	-338.677
1.79048e+06	-85.074	336.144	28.8646	-334.902
1.79875e+06	-84.6287	332.812	31.1542	-331.351
1.80705e+06	-84.0403	331.203	34.3886	-329.413
1.81539e+06	-83.6462	331.991	36.7406	-329.951
1.82377e+06	-83.7493	332.803	36.2351	-330.825
1.83219e+06	-84.0322	331.874	34.5049	-330.076
1.84064e+06	-84.1004	330.327	33.9529	-328.578
1.84914e+06	-84.1472	329.354	33.5855	-327.637
1.85768e+06	-84.5088	328.712	31.4551	-327.204
1.86625e+06	-84.7676	326.066	29.7356	-324.707
1.87487e+06	-84.9276	324.046	28.6502	-322.777
1.88352e+06	-85.1933	321.496	26.9394	-320.365
1.89221e+06	-85.4704	318.248	25.1335	-317.254
1.90095e+06	-85.5248	314.022	24.5023	-313.065
1.90972e+06	-85.3767	310.781	25.0501	-309.77
1.91854e+06	-85.1647	308.415	25.9969	-307.317
1.92739e+06	-85.1039	305.759	26.0961	-304.644
1.93629e+06	-84.7838	302.94	27.5416	-301.685
1.94523e+06	-84.283	301.387	30.0228	-299.888
1.9542e+06	-83.9079	303.078	32.1649	-301.366
1.96322e+06	-84.2101	305.28	30.7969	-303.723
1.97229e+06	-84.8429	304.067	27.3318	-302.836
1.98139e+06	-85.3829	301.58	24.2763	-300.602
1.99054e+06	-85.6755	298.514	22.5097	-297.664
1.99972e+06	-85.87	295.267	21.2648	-294.5
2.00895e+06	-86.0829	290.9	19.8721	-290.22
2.01823e+06	-86.0625	286.55	19.6767	-285.873
