#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321AA21BA
#Date Time: 2023-11-25 16:30:21.994
#Trace: Trace
#Start: 500000 Hz
#Stop: 5e+06 Hz
#Steps: 501
#Resistor: 1000 ?
#Average: 1
#ProbeResistance: 1.04e+06 ?
#ProbeCapacitance: 4.3e-11 F
#Compensation: Open Short
#Wavegen: Wavegen1
#Amplitude: 5 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 60.1568 V
#Offset: 0.000698911 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 60.9044 V
#Offset: 0.00197368 V
#Attenuation: 1 X

Frequency (Hz)	Trace Rs (?)	Trace Xs (?)
2.97146e+06	8.3961	-177.212
2.98518e+06	8.77036	-175.672
2.99896e+06	9.57613	-174.686
3.0128e+06	10.9385	-173.578
3.0267e+06	10.6115	-169.831
3.04068e+06	10.1158	-167.287
3.05471e+06	9.738	-165.419
3.06881e+06	10.2179	-163.316
3.08298e+06	11.0111	-161.657
3.09721e+06	13.0071	-159.767
3.1115e+06	17.6108	-156.883
3.12586e+06	25.0023	-151.371
3.14029e+06	33.1969	-144.867
3.15479e+06	43.4464	-141.027
3.16935e+06	57.0144	-142.835
3.18398e+06	69.9287	-153.505
3.19867e+06	74.7803	-171.823
3.21344e+06	67.9194	-188.783
3.22827e+06	55.7927	-198.73
3.24317e+06	41.7232	-201.848
3.25814e+06	29.9824	-197.644
3.27318e+06	23.7392	-191.242
3.28829e+06	20.7535	-184.567
3.30347e+06	21.1641	-178.331
3.31872e+06	24.8908	-175.562
3.33403e+06	25.3381	-179.201
3.34942e+06	20.3254	-177.109
3.36488e+06	18.7453	-172.292
3.38041e+06	19.2602	-167.259
3.39602e+06	22.2976	-160.745
3.41169e+06	31.1928	-154.521
3.42744e+06	52.7111	-155.985
3.44326e+06	60.7883	-190.201
3.45915e+06	32.8214	-201.501
3.47512e+06	20.969	-193.031
3.49116e+06	18.5884	-186.675
3.50728e+06	15.1429	-186.345
3.52347e+06	12.1019	-182.372
3.53973e+06	11.3931	-179.088
3.55607e+06	10.8806	-178.712
3.57248e+06	8.69701	-175.916
3.58897e+06	7.50915	-173.317
3.60554e+06	6.87336	-172.21
3.62218e+06	5.5898	-169.09
3.6389e+06	6.23464	-165.74
3.6557e+06	5.46465	-165.028
3.67257e+06	5.95537	-162.788
3.68952e+06	6.58245	-161.976
3.70655e+06	6.91122	-160.285
3.72366e+06	7.4421	-160.013
3.74085e+06	6.98536	-158.352
3.75811e+06	7.65042	-158.05
3.77546e+06	7.31445	-156.441
3.79289e+06	7.78984	-156.005
3.8104e+06	7.44344	-154.818
3.82798e+06	7.46887	-154.378
3.84565e+06	7.86931	-153.231
3.8634e+06	7.27851	-153.234
3.88124e+06	7.3547	-152.88
3.89915e+06	6.45484	-151.457
3.91715e+06	6.10961	-151.005
3.93523e+06	6.25205	-150.173
3.95339e+06	5.28519	-148.75
3.97164e+06	4.66636	-148.056
3.98997e+06	5.01989	-147.046
4.00839e+06	4.8761	-144.828
4.02689e+06	4.76359	-143.451
4.04548e+06	4.41711	-142.849
4.06415e+06	5.19244	-141.898
4.08291e+06	6.20329	-140.641
4.10176e+06	6.90375	-139.259
4.12069e+06	7.42027	-138.716
4.13971e+06	7.57352	-138.436
4.15882e+06	7.29802	-137.94
4.17802e+06	7.45109	-137.987
4.1973e+06	7.57806	-137.828
4.21667e+06	7.45315	-137.729
4.23614e+06	7.27121	-137.703
4.25569e+06	7.17184	-137.229
4.27533e+06	7.04279	-136.614
4.29507e+06	7.04937	-136.474
4.31489e+06	6.42056	-136.366
4.33481e+06	5.73461	-135.544
4.35482e+06	5.16426	-134.849
4.37492e+06	4.73551	-134.204
4.39511e+06	4.14503	-133.349
4.4154e+06	3.40881	-132.314
4.43578e+06	3.42057	-131.193
4.45625e+06	3.09859	-129.968
4.47682e+06	3.11948	-128.899
4.49749e+06	3.25786	-127.669
4.51825e+06	3.50118	-126.724
4.5391e+06	3.95237	-125.827
4.56005e+06	4.26247	-124.916
4.5811e+06	5.10388	-124.249
4.60225e+06	5.23972	-124.62
4.62349e+06	4.97741	-124.026
4.64483e+06	4.96479	-123.76
4.66627e+06	4.70122	-123.417
4.68781e+06	4.63818	-122.995
4.70945e+06	4.18032	-122.47
4.73119e+06	3.89116	-121.987
4.75302e+06	3.37507	-121.524
4.77496e+06	3.00586	-120.651
4.797e+06	2.36487	-119.578
4.81915e+06	2.41221	-118.492
4.84139e+06	2.40299	-117.429
4.86374e+06	2.48667	-116.434
4.88619e+06	2.37525	-115.326
4.90874e+06	2.6424	-114.322
4.9314e+06	3.12578	-113.333
4.95416e+06	3.39112	-112.843
4.97703e+06	4.08476	-112.209
5e+06	4.60414	-111.325
